Timestamp,Platform,Hours_played,Which type of games do you enjoy playing the MOST? ,How often do you play games?,Addiction_level,how do you feel gaming is affects your Academics.,By what method do you download games.,Do you Play games with friends,Do you participate in competitive or esports gaming?,"How often do you purchase in-game items (e.g., skins, battle passes, currency)?",What time of day do you primarily game?,Why do you play games?,Sleep_impact,Answer these questions on the scale of 1-5 on how gaming affects these aspects. [stress reduction],Have you ever made friends online.
04-02-2026 15:57,Mobile (Smartphone/Tablet),<1 hr,Offline mobile games,Occationally,1,No effect,play only free games,yes,"No, I prefer single-player games",Never,Evening (5 PM - 9 PM),Entertainment,2,2,No
04-02-2026 16:03,PC (Desktop/Laptop),1–2 hrs,Online Multiplayer Games,Weekly,4,Negatively,Pirate it,yes,"No, I only play non-competitive modes",Never,Evening (5 PM - 9 PM),Entertainment,4,3,yes
04-02-2026 16:03,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",<1 hr,"Online Multiplayer Games, Single Player story based games",Weekly,4,No effect,Pirate it,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Evening (5 PM - 9 PM),Entertainment,3,2,yes
04-02-2026 16:04,Mobile (Smartphone/Tablet),<1 hr,Online Multiplayer Games,Weekly,4,Positively,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Evening (5 PM - 9 PM),Entertainment,1(very positive),1(very positive),yes
04-02-2026 16:05,Mobile (Smartphone/Tablet),<1 hr,Online Multiplayer Games,Weekly,3,Positively,play only free games,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Evening (5 PM - 9 PM),Stress relief,2,2,yes
04-02-2026 16:36,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",<1 hr,"Online Multiplayer Games, Single Player story based games",Occationally,3,Positively,play only free games,No,"No, I only play non-competitive modes",Never,Evening (5 PM - 9 PM),Entertainment,3,2,yes
04-02-2026 16:39,PC (Desktop/Laptop),1–2 hrs,"Online Multiplayer Games, Single Player story based games",Weekly,4,Negatively,Buy it,yes,"Yes, as a serious competitor",Rarely (1-2 times a year),Afternoon (12 PM - 5 PM),Socializing,2,2,yes
04-02-2026 16:48,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",<1 hr,"Online Multiplayer Games, Single Player story based games",Occationally,4,Negatively,Pirate it,yes,"Yes, casually (playing ranked modes)",Never,Afternoon (12 PM - 5 PM),Entertainment,3,2,yes
04-02-2026 16:56,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",2–4 hrs,Online Multiplayer Games,Daily,4,Negatively,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Evening (5 PM - 9 PM),Entertainment,3,2,yes
04-02-2026 17:05,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet)",<1 hr,"Online Multiplayer Games, Single Player story based games, Offline mobile games",Occationally,2,Negatively,play only free games,yes,"Yes, casually (playing ranked modes)",Never,Late Night (9 PM - 2 AM),Entertainment,4,2,yes
04-02-2026 17:17,Mobile (Smartphone/Tablet),1–2 hrs,Online Multiplayer Games,Daily,3,No effect,play only free games,yes,"Yes, casually (playing ranked modes)",Rarely (1-2 times a year),Evening (5 PM - 9 PM),Entertainment,3,1(very positive),yes
04-02-2026 21:32,"PC (Desktop/Laptop), Mobile (Smartphone/Tablet), Cloud Gaming Services (e.g., GeForce NOW, Xbox Cloud Gaming)",4+ hrs,"Online Multiplayer Games, Offline mobile games",Daily,5,Negatively,Pirate it,yes,"No, I only play non-competitive modes",Never,Late Night (9 PM - 2 AM),Stress relief,5(very negative),1(very positive),No
04-03-2026 13:10,Mobile (Smartphone/Tablet),2–4 hrs,"Online Multiplayer Games, Offline mobile games",Daily,5,Positively,play only free games,No,"No, I only play non-competitive modes",Never,Late Night (9 PM - 2 AM),Stress relief,2,1(very positive),No
04-05-2026 18:45,Mobile (Smartphone/Tablet),<1 hr,Single Player story based games,Occationally,2,No effect,play only free games,No,"No, I prefer single-player games",Never,Evening (5 PM - 9 PM),Entertainment,5(very negative),5(very negative),No
